Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
8,100,40,1,840
8,100,40,1,840
8,100,40,1,840
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
4,100,40,1,440
3,100,40,1,340
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
2,100,40,1,240
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
10,10,7,1,107
10,10,7,1,107
6,10,9,1,69
6,10,9,1,69
6,10,7,1,67
2,10,38,1,58
2,10,38,1,58
2,10,38,1,58
2,10,38,1,58
2,10,38,1,58
2,10,38,1,58
2,10,38,1,58
2,10,38,1,58
2,10,38,1,58
2,10,38,1,58
2,10,38,1,58
2,10,38,1,58
2,10,38,1,58
2,10,38,1,58
2,10,38,1,58
2,10,38,1,58
2,10,38,1,58
2,10,38,1,58
2,10,38,1,58
2,10,38,1,58
2,10,38,1,58
2,10,38,1,58
16,1,40,1,56
4,10,11,1,51
4,10,11,1,51
4,10,11,1,51
4,10,11,1,51
4,10,11,1,51
4,10,11,1,51
4,10,11,1,51
10,1,40,1,50
4,10,10,1,50
4,10,10,1,50
4,10,9,1,49
4,10,9,1,49
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
8,1,40,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
1,10,38,1,48
8,1,40,1,48
4,10,7,1,47
6,1,40,1,46
4,10,5,1,45
4,10,5,1,45
4,10,5,1,45
4,1,40,1,44
4,1,40,1,44
4,1,40,1,44
4,1,40,1,44
4,1,40,1,44
4,1,40,1,44
4,1,40,1,44
4,1,40,1,44
4,1,40,1,44
4,1,40,1,44
4,1,40,1,44
4,1,40,1,44
4,1,40,1,44
4,1,40,1,44
4,1,40,1,44
4,1,40,1,44
4,1,40,1,44
4,1,40,1,44
4,1,40,1,44
3,1,40,1,43
4,10,3,1,43
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
