index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
37,itk,protein,,,,q08881,,,foxp3,protein,,,uniprot,q9bzs1,,,negative,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc3949578,pmc3949578,pmc3949578,pmc3949578",4,100,40,1,440
4,akt,family,,,,p31749,,,foxp3,protein,,,uniprot,q9bzs1,,,negative,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc2275380,pmc2275380,pmc2275380",3,100,40,1,340
38,itk,protein,,,,q08881,,,il2,protein,,,uniprot,p60568,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc3949578,pmc3949578",2,100,40,1,240
53,pak1,protein,,,,q13153,,,mtor,protein,,,uniprot,p42345,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4487994,pmc4487994",2,100,40,1,240
82,tgfbeta,family,,,,p01137,,,foxp3,protein,,,uniprot,q9bzs1,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc2275380,pmc2275380",2,100,40,1,240
7,akt,family,,,,p31749,,,pi3k,protein,,,be,p42336,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4712330,pmc4712330",2,100,40,1,240
9,akt,family,,,,p31749,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5193405,pmc5193405",2,100,40,1,240
42,itk,protein,,,,q08881,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc3949578,pmc3949578",2,100,40,1,240
39,itk,protein,,,,q08881,,,mtor,protein,,,uniprot,p42345,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
34,iqgap1,protein,,,,p46940,,,mek2,protein,,,uniprot,p36507,,,negative,i,,,,,,,nan,nan,nan,pmc3625979,1,100,40,1,140
69,ship,protein,,,,q92835,,,pi,protein,,,be,p42336,,,positive,i,,,,,,,nan,nan,nan,pmc4487994,1,100,40,1,140
21,cd5,protein,,,,p06127,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,nan,nan,nan,pmc5193405,1,100,40,1,140
20,cd4,protein,,,,p01730,,,il2,protein,,,uniprot,p60568,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
18,cd4,protein,,,,p01730,,,foxp3,protein,,,uniprot,q9bzs1,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
45,mek1,protein,,,,q02750,,,pten,protein,,,,p60485,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,100,40,1,140
41,itk,protein,,,,q08881,,,pi3k,protein,,,be,p42336,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
14,akt,simplechemical,,,,p31749,,,foxp3,protein,,,uniprot,q9bzs1,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
